hour,solar_cf,price
1144,0.396121952,16.4
1145,0.291926158,17.6
1146,0.120463628,18.9
1147,0.002182726,18.6
1148,0,15.8
1149,0,16
1150,0,17.1
1151,0,17.8
1152,0,19.8
1153,0,21.2
1154,0,21
1155,0,20.2
1156,0,18.9
1157,0,17.1
1158,0,14.8
1159,0.00127104,13.4
1160,0.120242263,13.5
1161,0.34389565,13.2
1162,0.450955137,13.5
1163,0.523786009,14.2
1164,0.765927639,14.7
1165,0.702890204,14.2
1166,0.628923966,14.1
1167,0.690559459,14.6
1168,0.549412358,15.1
1169,0.328419561,15.7
1170,0.130705175,16.4
1171,0.001752714,16.6
1172,0,15.1
1173,0,14.6
1174,0,14.6
1175,0,15.9
1176,0,17.9
1177,0,19.2
1178,0,19.3
1179,0,19.2
1180,0,18.4
1181,0,16.9
1182,0,14.6
1183,0.001293075,13.2
1184,0.086077384,13.3
1185,0.221150804,13
1186,0.542402766,13
1187,0.677792349,13.1
1188,0.766985927,13.1
1189,0.805962885,13
1190,0.788087564,13.3
1191,0.704816187,13.6
1192,0.574580139,14.4
1193,0.352745965,15.3
1194,0.120215991,16.1
1195,0.002262942,16.2
1196,0,14.6
1197,0,14.3
1198,0,14.5
1199,0,15.9
1200,0,17.9
1201,0,18.8
1202,0,19
1203,0,19
1204,0,19.4
1205,0,18.8
1206,0,17.5
1207,0.00324285,16.5
1208,0.138514417,16
1209,0.237342416,15.8
1210,0.427194713,16.3
1211,0.746871501,17
1212,0.718584139,18.2
1213,0.776247494,18.8
1214,0.561810722,19.8
1215,0.64400787,20.4
1216,0.545071883,20.9
1217,0.267570509,22
1218,0.101824975,23.6
1219,0.001801756,21.6
1220,0,21.2
1221,0,20.9
1222,0,22.3
1223,0,24.3
1224,0,25.2
1225,0,30.9
1226,0,31.8
1227,0,30.3
1228,0,30.4
1229,0,28.1
1230,0,24.8
1231,0.003634063,21.6
1232,0.135955834,19
1233,0.306151398,16.7
1234,0.5167986,15.9
1235,0.549421392,15.7
1236,0.663340688,14.9
1237,0.677613584,14.8
1238,0.808552473,15
1239,0.69130148,15.4
1240,0.491334914,16
1241,0.397297351,16.1
1242,0.158729358,16.2
1243,0.002835989,14.5
1244,0,12.6
1245,0,12.7
1246,0,13.9
1247,0,16.4
1248,0,19.4
1249,0,22.2
1250,0,24.2
1251,0,24.7
1252,0,25.8
1253,0,24.4
1254,0,21.1
1255,0.000413383,19.3
1256,0.12320669,19.4
1257,0.312872753,18.9
1258,0.505121542,19.2
1259,0.677695586,19.9
1260,0.812041554,20.6
1261,0.818042377,21
1262,0.842597307,22.5
1263,0.717985012,23
1264,0.582634035,23.5
